Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
FF,"Futurefuel Corp",9.16,-0.13,-1.40%,9.3263,9.15,88440,"15:13 ET"
FFBC,"First Finl Bncp [Oh]",24.92,0.039999999999999,+0.16%,25.33,24.92,114772,"15:13 ET"
FHB,"First Hawaiian Inc",27.17,0.61,+2.30%,27.18,26.4728,300500,"15:14 ET"
FIX,"Comfort Systems USA",120.36,3.24,+2.77%,120.75,116.4,264169,"15:12 ET"
FIZZ,"Natl Beverage Cp",44.52,-0.23,-0.51%,44.89,44.2,70191,"15:13 ET"
FLGT,"Fulgent Genetics Inc",31.26,0.26,+0.84%,31.17,30.28,180400,"15:10 ET"
FN,Fabrinet,135.48,0.79999999999998,+0.59%,135.67,133.18,123962,"15:06 ET"
FORM,"Formfactor Inc",25.37,0.36,+1.44%,25.47,24.61,149179,"15:14 ET"
FORR,"Forrester Resrch",36.02,-0.19,-0.52%,36.58,35.7,34369,"15:06 ET"
FSP,"Franklin Street Properties",3.11,0.14,+4.71%,3.13,2.96,401275,"15:14 ET"
FSS,"Federal Signal Corp",50.62,0.61,+1.22%,51.28,49.66,167661,"15:13 ET"
FTDR,"Frontdoor Inc",23.63,0.27,+1.16%,23.79,23.2,414609,"15:12 ET"
FUL,"H. B. Fuller Company",74.42,0.040000000000006,+0.05%,74.96,74.08,142396,"15:14 ET"
FWRD,"Foward Air Corp",102.41,-0.60000000000001,-0.58%,103.4,100.27,97550,"15:10 ET"
GBX,"Greenbrier Companies",29.79,1.16,+4.05%,30.5,28.8015,262075,"15:14 ET"
GCI,"Gannett Inc",2.36,0.02,+0.85%,2.41,2.32,415980,"15:10 ET"
GCO,"Genesco Inc",47.79,0.42,+0.89%,48.23,46.78,63118,"15:13 ET"
GDEN,"Golden Entmt",38.85,1.07,+2.83%,39.1,37.95,74637,"15:09 ET"
GDOT,"Green Dot Corp",17.88,0.2,+1.13%,18.015,17.505,88773,"15:12 ET"
GEO,"Geo Group Inc",11.29,0.26,+2.36%,11.53,10.88,1415485,"15:14 ET"
GES,"Guess Inc",22.73,0.47,+2.11%,22.62,21.93,385888,"15:14 ET"
GFF,"Griffon Corp",38.53,-0.27,-0.70%,39,37.58,262249,"15:14 ET"
GIII,"G-III Apparel Gp",15.4,-0.26,-1.66%,15.91,15.32,441071,"15:14 ET"
GKOS,"Glaukos Corp",48.09,1.94,+4.20%,48.14,45.45,151659,"15:10 ET"
GMS,"Gms Inc",52.95,-0.27,-0.51%,53.58,52.7,74304,"15:12 ET"
GNL,"Global Net Lease Inc",13.65,-0.32,-2.29%,13.67,13.35,736018,"15:12 ET"
GNW,"Genworth Financial Inc",5.28,0.010000000000001,+0.19%,5.3,5.26,1298000,"15:14 ET"
GOGO,"Gogo Inc",16.21,0.17,+1.06%,16.38,15.86,421160,"15:14 ET"
GPI,"Group 1 Automotive",191.19,0.41999999999999,+0.22%,193,188.2,93380,"15:12 ET"
GPMT,"Granite Point Mortgage Trust Inc",6.11,0.18,+3.04%,6.1493,5.97,291874,"15:14 ET"
GPRE,"Green Plains Inc",31.88,0.11,+0.35%,32.18,31.32,237731,"15:14 ET"
GRBK,"Green Brick Partners",27.36,0.15,+0.55%,27.57,26.51,152765,"15:13 ET"
GTY,"Getty Realty Corp",35.17,-0.31,-0.87%,35.59,35.11,351677,"15:12 ET"
GVA,"Granite Construction Inc",37.29,0.64,+1.75%,37.38,36.68,80582,"15:14 ET"
HA,"Hawaiian Hlds Inc",13.31,0.57,+4.47%,13.42,12.62,931179,"15:14 ET"
HAFC,"Hanmi Financial Cp",25.39,0.64,+2.59%,25.51,24.935,67302,"15:10 ET"
HAIN,"Hain Celestial Group",19.12,-0.16,-0.83%,19.52,18.94,523919,"15:14 ET"
HAYN,"Haynes Intl Inc",53.62,0.73999999999999,+1.40%,53.695,52.29,35028,"15:12 ET"
HCC,"Warrior Met Coal Inc",34.11,0.049999999999997,+0.15%,34.48,33.99,164435,"15:10 ET"
HCI,"Homeowners Choice",41.98,0.77999999999999,+1.89%,43.065,40.88,126929,"15:09 ET"
HCSG,"Healthcare Svcs Gp",13.47,-0.049999999999999,-0.37%,13.64,13.36,174501,"15:12 ET"
HFWA,"Heritage Financial",30.32,0.54,+1.81%,30.51,29.47,125491,"15:10 ET"
HI,"Hillenbrand Inc",45.88,0.16,+0.35%,46.18,45.3,255265,"15:13 ET"
HIBB,"Hibbett Inc",72.54,-0.44,-0.60%,74.43,71.77,121332,"15:14 ET"
HLIT,"Harmonic Inc",15.45,0.22,+1.44%,15.54,15.04,640117,"15:13 ET"
HLX,"Helix Energy Solutions Group",7.82,0.15,+1.96%,7.995,7.635,1537107,"15:14 ET"
HMN,"Horace Mann Educators Corp",37.63,0.16,+0.43%,37.81,37.25,50913,"15:13 ET"
HMST,"Homestreet Inc",28.57,0.13,+0.46%,29,28.52,77561,"15:11 ET"
HNI,"Hon Industries Inc",30.79,0.34,+1.12%,30.8,30.3682,39463,"15:06 ET"
HOPE,"Hope Bancorp Inc",12.81,0.15,+1.18%,12.93,12.68,249692,"15:06 ET"
HOUS,"Anywhere Real Estate Inc",7.99,0.13,+1.65%,8.09,7.77,932133,"15:11 ET"
HP,"Helmerich & Payne",50.59,1.97,+4.05%,51.14,48.5405,617948,"15:12 ET"
HPP,"Hudson Pacific Properties",10.5,0.35,+3.45%,10.52,10.115,1020438,"15:11 ET"
HRMY,"Harmony Biosciences Holdings Inc",47.54,0.079999999999998,+0.17%,48.42,46,409014,"15:14 ET"
HSC,"Harsco Corp",7.31,0.05,+0.69%,7.405,7.25,133123,"15:08 ET"
HSII,"Heidrick & Struggl",28.95,0.27,+0.94%,29.68,28.22,36663,"15:10 ET"
HSKA,"Heska Corp",73.19,1.32,+1.84%,74.35,70.03,34258,"14:58 ET"
HSTM,"Healthstream Inc",24.23,0.32,+1.34%,24.36,23.65,30999,"15:08 ET"
HT,"Hersha Hospitality Trust",8.72,0.15,+1.75%,8.83,8.61,336207,"15:11 ET"
HTH,"Hilltop Holdings Inc",31.56,0.45,+1.45%,31.61,31.04,124016,"15:11 ET"
HTLD,"Heartland Express",16.3,0.060000000000002,+0.37%,16.41,16.21,73270,"15:12 ET"
HUBG,"Hub Group Inc A",82.42,0.71000000000001,+0.87%,82.83,81.28,93558,"15:10 ET"
